#,company_name,substance_name,cas_number,company_id
5532,Mikro Teknik Kimyevi Maddeler Lab. Malz. Cihazları San. ve Tic. Ltd Sti.,Nitric Acid,7697-37-2,19413
5533,Perchemicals Kimya Dis Ticaret Ltd Sti,Nitric Acid,7697-37-2,60022
5534,S. Goldmann GmbH & Co. KG,Nitrilotriacetic Acid,139-13-9,61702
5535,Cenik Chemicals,Nitrilotriacetonitrile,7327-60-8,26063
5536,Cenik Chemicals,Nitrilotrimethylenetris(phosphonic Acid),6419-19-8,26063
5537,Mikro Teknik Kimyevi Maddeler Lab. Malz. Cihazları San. ve Tic. Ltd Sti.,Nitrilotrimethylenetris(phosphonic Acid),6419-19-8,19413
5538,Cenik Chemicals,Nitrobenzoic Acid,62-23-7,26063
5539,Cenik Chemicals,Nitro Blue Tetrazolium Chloride Monohydrate,298-83-9,26063
5540,Cenik Chemicals,Nitroethan,79-24-3,26063
5541,Cenik Chemicals,Nitrofurantoin,67-20-9,26063
5542,BG AGROCHEM COMPANY LIMITED,Nitrogen-phosphorus-potassium Fertilizer,66455-26-3,60683
5543,Cenik Chemicals,Nizatidine,76963-41-2,26063
5544,Cenik Chemicals,N-Methyl-1-Naphthalenemethylamine Hydrochloride,65473-13-4,26063
5545,Cenik Chemicals,N-Methyl-4-(4-Aminophenoxy)Pyridine-2-Carboxamide Sorafenib Intermediates Ii,284462-37-9,26063
5546,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Methyl-4-(4-Aminophenoxy)Pyridine-2-Carboxamide Sorafenib Intermediates Ii,284462-37-9,17191
5547,Cenik Chemicals,N-Methyl-4-Nitroaniline,100-15-2,26063
5548,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Methyl-4-Nitroaniline,100-15-2,17191
5549,Cenik Chemicals,N-Methylacetamid,79-16-3,26063
5550,Cenik Chemicals,N-Methylbenzylamine,103-67-3,26063
5551,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Methylbiphenyl-2-Amine,14925-09-8,17191
5552,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Methylhomoveratrylamine,3490-06-0,17191
5553,Cenik Chemicals,N-Methylmaleimide,930-88-1,26063
5554,Cenik Chemicals,N-Methyl-N-(1-Methylethyl)-2-Propanamine,10342-97-9,26063
5555,Cenik Chemicals,N-Methyl-N-Nitroso-P-Toluenesulfonamide (Diazogen),80-11-5,26063
5556,Cenik Chemicals,N-Methyl-N-(trimethylsilyl)trifluoroacetamide,24589-78-4,26063
5557,Adakem Chemicals Ltd,N-Methylolacrylamide,924-42-5,38275
5558,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-methylphenethylamine,589-08-2,17191
5559,"Zhejiang ZETian Fine Chemicals Co.,Ltd",N-Methylpyrolidine,120-94-5,17191
5560,Cenik Chemicals,N-Methyl Pyrrolidone,872-50-4,26063
