,Spieler,Tore,Torvorlage,Progressive Pässe,Rückpässe,seitliche Pässe,lange Pässe,kurze Pässe,Dribbeln,Grätschen,Abfangen,Zweikämpfe,Blocks,Schüsse,Ballberührungen im 16er,erlittene Fouls,Flanken,clevere Pässe,Progressive Läufe,Besschleunigungen,erhaltene Pässe,Angriffsläufe,Fouls,Kmeans_4_clusters,Kmeans_8_clusters,k_medions_4_clusters,k_medions_8_clusters,Hierarchical_clustering_4_clusters,Hierarchical_clustering_8_clusters
1156,R. Vieira,-0.73396643282216,-0.762182559982416,0.391964639951469,-0.03974361966031,0.639620833575728,0.759843922678736,0.316784872158497,-0.64726867584054,-1.01717147529823,0.130450678883634,-0.0472298665419663,-0.779928950506166,0.450525134334981,-0.665230601864873,-0.559040246335247,-0.234075623957018,-0.651575147960917,-0.287881115477591,-0.790710189576822,0.120773778798301,-0.255137114539268,1.21979403574482,1,0,3,2,2,2
1157,J. Murillo,-0.73396643282216,-0.762182559982416,0.181282058143014,-2.41769377123109,0.267095913824553,1.50318695252276,-0.722155586011296,-1.37815676124973,-0.207448530017885,0.62061060775131,-0.766361882456716,0.651994841684395,-1.15636745136821,-1.25432114923951,0.0954933359180991,-0.411381480260456,-1.26257410462675,-1.4113181444333,-1.6397865627813,-0.613812447578898,-1.21644993526061,0.133963913413375,3,4,2,4,0,5
1158,B. Bereszynski,-0.73396643282216,-0.340426681270447,0.840081696755895,-0.424789913962885,-0.143102718955322,0.594828896667945,0.138649514768528,-0.384762573903543,-0.766658670376408,0.776936472004431,-0.453695920642877,0.994476424155552,-0.54036720891276,-0.950985184033807,-0.540483251670794,0.574290636387699,-0.699961211091313,0.253555118023837,0.00481279339030415,0.157079633926437,-0.675789417220913,-0.0130944778918094,1,3,0,2,2,1
1159,Dalbert,-0.73396643282216,0.292207136797505,0.226582402187506,0.134545222197981,0.112453036965987,0.252484148732309,-0.200221764394167,0.0807964938333215,0.917628470693334,0.363894469178191,-0.179201256564632,-0.678364507493025,-0.524819858408856,-0.563883159730643,0.0802704722812847,1.95144614726953,-0.04623916757398,0.392542480548962,0.498994374001085,0.202926849593143,-0.321616745430179,0.963419874643998,1,3,0,5,2,1
1160,G. Pezzella,-0.73396643282216,-0.762182559982416,0.288189178236212,0.294100734580825,-0.144766490840784,0.348462291651221,-0.339896592895191,0.480370070524245,-1.39283297204126,0.00031051505946212,-0.338954109905134,1.55422765603975,-1.34282823093013,-0.563883159730643,0.287106786181941,1.46581086465837,-0.651575147960917,0.459375627886682,0.641605619736043,0.040977358530136,-0.505755959111126,0.151975792148544,1,3,0,5,2,1
1161,R. Krunic,-0.73396643282216,0.819401985187466,-0.00178724476494173,-0.0673575524044111,-0.264840594044531,-0.654498047933996,0.152078443335182,-0.00714709704666715,0.762780129436366,-0.0368284415506631,0.748127200016147,-1.04255448886152,-0.0854126284435586,0.341797545069274,1.65397240372751,-0.965217064807543,-0.145625114723871,-0.325726663538917,0.119600373617251,-0.0360999278087824,0.80472044832547,0.859157669142646,1,5,0,0,2,2
1162,A. Tamèze,-0.73396643282216,-0.762182559982416,1.30792251862496,0.414835040839381,2.19322921833829,0.46096903177912,2.06063999041143,0.221292602531825,1.44535243059826,0.434482548617169,0.205307141701004,0.73000716056094,-1.71318685636755,0.153554963225374,-0.449269512220143,-0.368159513207088,-0.290639446585356,-0.189543672972905,-1.6397865627813,2.05452612851377,0.975096984140565,1.27462416517968,1,0,2,3,0,4
1163,D. Baselli,-0.73396643282216,0.608524045831482,0.410957329956302,-0.139789232185033,0.659695688049091,0.675368343845746,0.384694294989929,-0.411311674705983,1.93419300860432,1.33512090445754,0.163471124910762,0.492494111746582,-0.751825528588039,-0.937651922107418,-0.190178336878098,0.706673959430473,-0.557119607249558,-0.238252846703968,-0.732286944123093,0.0328423182391592,-0.0427647331530191,0.310571024632225,1,0,0,2,2,1
1164,Bremer,-0.0510475428537635,-0.762182559982416,0.954114348266658,-1.25091688084866,0.576991454414542,1.15146851138544,0.436901794024805,-1.19075498160602,-0.00601590738136706,1.81916033587522,0.183538126215,2.26883956780734,-1.00156795455447,-0.784372116002717,-0.672686032497922,-1.48164143782397,-1.1468148071467,-0.664267846672628,-0.713090414415569,0.14676524878408,-1.36673311977281,0.0976976605426961,3,7,2,7,0,5
1165,E. Torregrossa,1.25270670163135,0.713963015509474,-0.907891410679855,-0.392985144522801,-1.37558722658144,-0.803431778537581,-1.07631697393639,0.982539187539341,0.114385579104957,-1.28059684141008,1.96312016814979,-0.151630687912503,1.57170148158075,1.36973694211674,2.71985958667808,-0.523913385927185,1.13087324977685,0.149580306957252,-0.0098853412851298,-0.935882349945593,1.51667220122923,1.42168255648486,0,1,1,6,3,3
