,Spieler,Tore,Torvorlage,Progressive Pässe,Rückpässe,seitliche Pässe,lange Pässe,kurze Pässe,Dribbeln,Grätschen,Abfangen,Zweikämpfe,Blocks,Schüsse,Ballberührungen im 16er,erlittene Fouls,Flanken,clevere Pässe,Progressive Läufe,Besschleunigungen,erhaltene Pässe,Angriffsläufe,Fouls,Kmeans_4_clusters,Kmeans_8_clusters,k_medions_4_clusters,k_medions_8_clusters,Hierarchical_clustering_4_clusters,Hierarchical_clustering_8_clusters
88,Paulinho,4.108549332,4.720643863,-0.335896108,0.619148445,0.185652254,-1.0558463,0.287395367,1.107379568,-1.392832972,0.112902119,0.104473813,0.201463464,1.303582288,0.822698523,1.025517566,0.507878038,-0.026757356,2.091932538,2.5110936,0.178419583,2.872178885,0.258394041,2,0,3,7,1,3
89,J. Todibo,-0.733966433,-0.76218256,1.35138126,-0.26534684,1.711442884,1.021310855,1.447262541,0.857802583,0.253745003,1.882412576,1.064387801,-1.042554489,-0.768858644,-0.665230602,0.155675082,-1.481641438,-0.651575148,0.515339871,-0.224540703,1.156078129,-1.589372685,0.76759919,3,1,2,6,0,4
90,M. Götze,2.308126804,-0.76218256,0.044889457,2.067969006,-0.483334391,-0.819807283,0.824949783,-0.185763588,-1.392832972,-0.437029733,0.221551046,1.103959977,0.196916958,1.496055874,0.600468009,0.127847929,1.786853107,0.149580307,-0.272848281,0.959529564,1.399370006,-0.705659099,2,0,3,3,1,3
91,J. Brekalo,0.197286599,1.346596834,-0.162204138,1.030418322,0.08299373,-0.212282108,0.22175733,1.285680926,-0.921174617,-0.241516221,0.49745779,-1.042554489,1.142039991,0.811876804,-0.308498253,0.644775656,1.910278077,1.897402058,1.815021441,0.144179363,2.014766571,-0.489369038,2,0,3,7,1,3
92,J. Brooks,-0.733966433,-0.340426681,0.991923546,-0.804081585,0.960776678,1.116029699,0.606385132,-1.782276753,0.161440744,1.280797394,-1.028758743,0.369688273,-0.982876169,-0.467535753,-1.381500421,-1.334454167,-1.035424842,-1.120791922,-1.534004337,0.260202026,-1.016956748,-0.661465653,0,5,2,6,2,2
93,S. Bornauw,0.569787812,-0.76218256,0.937959754,-1.73238838,0.916427795,1.800044454,0.246936319,-1.276444319,-0.130584353,0.715586142,-0.759329832,0.957481393,-0.718104182,-0.426194204,-1.454400811,-1.117081784,-1.17533178,-0.843670564,-0.97397999,0.296796702,-0.881520767,0.396063852,0,7,2,6,2,2
94,M. Rashica,1.128539631,0.819401985,-1.505728517,-0.36604044,-0.33503192,-0.447475311,-1.176691957,1.481696104,0.230889886,-1.296109974,0.705654592,-0.480810013,1.571701482,0.647826338,0.933192109,1.221516877,-0.488210242,1.033060844,1.910699451,-0.941422939,0.058493404,-0.127007929,2,3,1,7,1,5
95,J. Torunarigha,-0.36146522,-0.76218256,0.57362228,-1.20685141,1.347617243,1.364427332,0.600817631,-0.438270816,-0.339319278,1.116159248,-0.233730541,2.180836151,-1.321408857,-0.723893127,-1.357562544,-1.181373237,-0.026757356,-0.509917314,-0.208628556,0.683990049,-0.458746162,-0.468362965,0,5,2,6,2,2
96,A. Harit,0.818121953,0.924840955,-0.042758514,0.799687208,-0.402104713,-0.795296438,0.243355149,1.213368881,-1.183084198,-1.45683767,0.537388928,-1.042554489,0.196916958,0.355553343,1.99973916,-0.618963537,1.259218851,1.400335949,1.367862979,0.050881022,1.856966415,-0.79552191,2,0,3,7,1,5
97,R. Skov,0.073119528,1.346596834,-0.089966445,0.78842262,-0.17326619,0.091171101,-0.077064219,0.79527785,-0.736535743,0.023242436,-0.505846013,-0.384686819,0.93501073,0.429525929,0.080270472,0.83048391,0.286153621,0.892956827,0.937324347,0.179269051,0.434975516,-1.005326548,2,0,3,3,1,5
98,M. Eggestein,-0.547715826,0.186768167,0.660511036,-0.1479675,0.301951705,0.11146634,0.482174507,-0.418012526,0.600970019,0.224804231,-0.163196134,0.244015114,0.265600422,-0.478009319,0.140734778,-0.264194209,1.117726307,-0.014519902,-0.240547284,0.345485468,1.064440838,-0.426675378,3,6,0,0,0,0
