,Date,Time,Open,High,Low,Last,ATR,FractalSell,FractalWk,OpenTrade,StopLoss,TakeProfit,Close Trade,OpenTradeNew,StoplossNew,TakeProfitNew,CloseTradeNew
122, '2010/4/5', '00:00:00.0',1.52844,1.5392,1.51295,1.53793,0.0388,0.0,1.47925,1.51567,1.47925,1.59193,0.0,1.51567,1.47925,1.59193,0.0
123, '2010/4/12', '00:00:00.0',1.54574,1.55236,1.53365,1.53913,0.03789,0.0,1.47925,1.51567,1.47925,1.59193,0.0,1.51567,1.47925,1.59193,0.0
124, '2010/4/19', '00:00:00.0',1.5271,1.54735,1.51916,1.53785,0.03699,0.0,1.47925,1.51567,1.47925,1.59193,0.0,1.51567,1.47925,1.59193,0.0
125, '2010/4/26', '00:00:00.0',1.5388,1.54976,1.51255,1.53013,0.03704,0.0,1.47925,1.51567,1.47925,1.59193,0.0,1.51567,1.47925,1.59193,0.0
126, '2010/5/3', '00:00:00.0',1.53215,1.53315,1.44763,1.48201,0.03891,0.0,1.47925,1.51567,1.47925,1.59193,-0.03642000000000012,1.51567,1.47925,1.59193,-0.03642000000000012
127, '2010/5/10', '00:00:00.0',1.48634,1.50486,1.44961,1.45377,0.03844,0.0,1.47925,1.48634,1.47925,1.50052,-0.007090000000000041,1.48634,1.47925,1.50052,-0.007090000000000041
128, '2010/5/17', '00:00:00.0',1.4513,1.45466,1.42273,1.44841,0.03799,1.42209,1.42209,1.4513,1.42209,1.50972,0.0,1.4513,1.42209,1.50972,0.0
129, '2010/5/24', '00:00:00.0',1.44655,1.46117,1.4259,1.44536,0.03799,0.0,1.42209,1.4513,1.42209,1.50972,0.0,1.4513,1.42209,1.50972,0.0
130, '2010/5/31', '00:00:00.0',1.4417,1.47708,1.44164,1.44743,0.03792,0.0,1.42209,1.4513,1.42209,1.50972,0.0,1.4513,1.42209,1.50972,0.0
131, '2010/6/7', '00:00:00.0',1.44096,1.47593,1.43467,1.45375,0.03821,0.0,1.42209,1.4513,1.42209,1.50972,0.0,1.4513,1.42209,1.50972,0.0
132, '2010/6/14', '00:00:00.0',1.45775,1.48865,1.45519,1.4825,0.03798,0.0,1.42209,1.4513,1.42209,1.50972,0.0,1.4513,1.42209,1.50972,0.0
133, '2010/6/21', '00:00:00.0',1.48642,1.50787,1.46874,1.5077,0.0377,0.0,1.42209,1.4513,1.42209,1.50972,0.0,1.4513,1.42209,1.50972,0.0
134, '2010/6/28', '00:00:00.0',1.50655,1.52294,1.48735,1.51965,0.03775,0.0,1.42209,1.4513,1.42209,1.50972,0.058419999999999916,1.4513,1.42209,1.50972,0.058419999999999916
135, '2010/7/5', '00:00:00.0',1.5203,1.52416,1.50509,1.50616,0.03722,0.0,1.42209,1.5203,1.42209,1.7167199999999998,0.0,1.5203,1.42209,1.7167199999999998,0.0
136, '2010/7/12', '00:00:00.0',1.50679,1.54724,1.49487,1.5299,0.03777,0.0,1.42209,1.5203,1.42209,1.7167199999999998,0.0,1.5203,1.42209,1.7167199999999998,0.0
137, '2010/7/19', '00:00:00.0',1.52755,1.54495,1.51248,1.54282,0.03804,0.0,1.42209,1.5203,1.42209,1.7167199999999998,0.0,1.5203,1.42209,1.7167199999999998,0.0
138, '2010/7/26', '00:00:00.0',1.5418,1.57218,1.54094,1.56903,0.03773,0.0,1.42209,1.5203,1.42209,1.7167199999999998,0.0,1.5203,1.42209,1.7167199999999998,0.0
139, '2010/8/2', '00:00:00.0',1.5711,1.59985,1.5696,1.5965,0.03761,0.0,1.42209,1.5203,1.42209,1.7167199999999998,0.0,1.5203,1.42209,1.7167199999999998,0.0
140, '2010/8/9', '00:00:00.0',1.5965,1.5996,1.55621,1.5592,0.03795,0.0,1.42209,1.5203,1.42209,1.7167199999999998,0.0,1.5203,1.42209,1.7167199999999998,0.0
